Date,Open,High,Low,Close,Volume
2010-11-10,298.9993,299.07692,294.88105,294.95875,236463
2010-11-12,289.83028,292.16144,286.95545,287.49931,633978
2010-11-15,291.38445,291.61748,279.41821,281.51614,993456
2010-11-16,282.0601,282.0601,276.38787,278.25277,585943
2010-11-17,278.95205,290.99591,277.24256,286.72223,675319
2010-11-18,285.24587,290.14121,284.00263,286.02295,1857325
2010-11-19,288.04326,288.04326,283.8473,283.8473,1053288
2010-11-22,287.42161,288.12088,284.39117,284.54658,510313
2010-11-23,284.54658,284.77971,277.6311,277.70881,822571
2010-11-24,279.65133,281.67157,277.47568,278.87434,899149
2010-11-25,279.72904,280.97228,277.78643,278.79664,273528
2010-11-26,278.56351,278.79664,272.34731,274.28983,585510
2010-11-29,277.32027,277.94184,272.03647,272.73585,418340
2010-11-30,274.98921,276.62098,272.2696,275.76628,956356
2010-12-01,276.54319,283.22572,275.22233,281.67157,433421
2010-12-02,282.83718,285.78982,281.82698,282.75939,430036
2010-12-03,283.61409,284.15804,278.4081,281.98249,116774
2010-12-06,282.52635,285.16825,279.72904,285.16825,300694
2010-12-07,283.30334,285.94524,282.9148,285.94524,291430
2010-12-08,282.29323,285.86754,279.18509,281.20541,278854
2010-12-09,281.28311,282.37084,279.10747,279.72904,287221
2010-12-10,280.50603,284.77971,280.11758,280.11758,520233
2010-12-13,282.21552,283.38105,281.20541,282.44864,80716
2010-12-14,283.45876,284.93512,280.89457,284.93512,247649
2010-12-15,283.22572,284.77971,281.74927,284.39117,116925
2010-12-16,283.92501,285.09054,280.11758,280.58374,192747
2010-12-17,281.20541,281.28311,278.17497,278.95205,662234
2010-12-20,278.17497,280.11758,276.6986,277.39789,226461
2010-12-21,278.17497,278.17497,275.92161,277.39789,265009
2010-12-22,278.25277,278.25277,276.85402,277.16486,157397
2010-12-23,277.16486,277.47568,276.77631,277.24256,131099
2010-12-27,277.08714,277.39789,275.76628,277.00952,69394
2010-12-28,276.62098,277.00952,275.8439,276.23244,144492
2010-12-29,276.62098,278.56351,276.31015,277.39789,141565
2010-12-30,277.39789,278.25277,276.31015,276.46557,78880
2010-12-31,276.46342,276.62314,272.8909,276.23648,132983
2011-01-03,276.85402,281.59395,276.62098,281.28311,116021
2011-01-04,281.28311,281.28311,273.59055,273.59055,259037
