Date,Open,High,Low,Close,Volume
2010-09-28,44808.7,44855.12,44572.78,44636.59,74016837
2010-09-29,44880.83,44997.8,44653.88,44847.3,170804237
2010-09-30,44775.75,45236.72,44684.36,45236.72,131450154
2010-10-01,45124.44,45322.5,45085.99,45225.58,94909530
2010-10-04,45231.04,45542.07,45035.39,45542.07,69998026
2010-10-05,45365.4,45952.85,45319.9,45897.63,109426042
2010-10-06,46080.91,46238.49,45908.45,45977.02,119073617
2010-10-07,45881.51,45916.22,45455.05,45455.05,113424488
2010-10-08,45565.05,45640.65,45191.65,45227.66,84164466
2010-10-11,45404.68,45532.45,45316.22,45454.91,70710048
2010-10-12,45258.17,45528.11,45181.64,45452.98,102844958
2010-10-13,45713.04,46300.1,45698.18,46286.96,108080245
2010-10-14,46386.96,46440.96,46020.72,46079.69,78928238
2010-10-15,46147.33,46147.96,45806.33,45806.33,77797967
2010-10-18,45741.98,45946.7,45644.71,45858.88,166935482
2010-10-19,45820.68,45991.67,45133.87,45289.74,129038607
2010-10-20,45172.51,45404.49,45074.58,45384.47,88937982
2010-10-21,45552.51,45870.32,45500.56,45870.28,60639005
2010-10-22,45665.29,45729.01,45479.47,45729.01,57179481
2010-10-25,45952.23,46016.62,45843.35,45854.85,99650881
2010-10-26,45780.47,45780.47,45512.27,45756.17,75988414
2010-10-27,45727.75,46150.96,45662.45,46059.42,123094566
2010-10-28,46182.42,46263.25,46001.6,46026.3,114496782
2010-10-29,46065.88,46229.6,45888.5,46229.6,84684083
2010-11-02,46334.42,46694.75,46315.6,46575.68,77469312
2010-11-03,46630.3,46668.8,46416.84,46416.84,81558411
2010-11-04,46686.36,47189.05,46686.36,47066.4,100294122
2010-11-05,47155.98,47315.28,46899.75,47232.31,91980910
2010-11-08,47323.22,47374.27,47062.35,47254.29,65029254
2010-11-09,47299.69,47738.65,47186.28,47738.65,81471485
2010-11-10,47651.21,47683.85,47279.45,47287.61,107263475
2010-11-12,46684.82,47493.93,46630.01,47493.93,78792701
2010-11-15,47455.78,47455.78,47188.93,47189.03,175671726
2010-11-16,47123.13,47123.13,46326.19,46566.94,109705649
2010-11-17,46238.91,46497.91,46179.95,46363.5,187689119
2010-11-18,46671.34,46742.41,46347.08,46493.45,85588101
2010-11-19,46653.37,46659.97,45740.17,46005.8,200598918
2010-11-22,46090.89,46164.16,45809.5,45902.25,84407138
2010-11-23,45785.71,45829.15,45472.74,45730.96,95095528
2010-11-24,45844.04,45982.37,45572.59,45970.99,85213501
2010-11-25,46072.91,46162.85,45944.18,46018.64,64798830
2010-11-26,45815.63,45924.96,45215.55,45641.9,67406748
2010-11-29,45660.92,45670.72,45167.16,45284.42,49789458
2010-11-30,45382.43,45743.78,45343.78,45361.07,109073572
2010-12-01,45717.32,46184.21,45664.91,46145.34,62730104
2010-12-02,46385.99,46761.02,46384.88,46481.15,85443814
2010-12-03,46676.64,46868.43,46516.72,46868.43,49173830
2010-12-06,46969.17,47348.16,46720.16,47348.16,46820853
2010-12-07,47325.7,47669.49,47296.34,47516.57,79205315
2010-12-08,47324.59,47554.07,47243,47554.07,58159258
2010-12-09,47617.08,47770.43,47369.39,47465.15,80859907
2010-12-10,47517.21,47554.01,47341.15,47510.17,115687806
2010-12-13,47639.72,47699.17,47471.31,47649.66,64068812
2010-12-14,47604.59,47637.57,47402.34,47637.57,78569374
2010-12-15,47507,47892.91,47429.03,47892.91,85604546
2010-12-16,47730.94,47790.38,47321.1,47516.86,74855779
2010-12-17,47594.41,47651.54,47421.17,47651.54,209151931
2010-12-20,47623.66,47635.42,47229.16,47363.9,101431867
2010-12-21,47525.47,47813.75,47401.45,47732.9,73934418
2010-12-22,47790.24,47816.9,47693.24,47693.24,62416695
2010-12-23,47809.63,47809.76,47631.47,47718.8,54750752
2010-12-27,47765.26,47772.04,47530.07,47596.12,71989693
2010-12-28,47562.21,47781.05,47422.73,47422.73,128321967
2010-12-29,47739.17,47911.57,47645.71,47911.46
2010-12-30,47893.7,47893.84,47700.6,47700.76,47794058
2010-12-31,47765.03,47772.17,47420.9,47489.91,39817421
2011-01-03,47649.12,48004.74,47627.22,48004.74
2011-01-04,48036.01,48093.34,47529.33,47616.84
2011-01-05,47639.73,47639.73,46587.56,47075.74,83689496
2011-01-07,47051.54,47083.89,46645.26,46850.41,54767723
2011-01-10,46768.21,46768.21,46148.55,46416.3,60346336
2011-01-11,46543.37,46706.61,46400.22,46678.96,78209041
2011-01-12,46752.96,47345.3,46662.96,47345.3,61421677
2011-01-13,47479.13,47503.1,47153.03,47447.03,62357543
2011-01-14,47297.21,47460.25,47183.75,47258.66,65973203
2011-01-17,47232.83,47458.72,47230.2,47457.37,68965218
2011-01-18,47698.17,48371.02,47689.32,48371.02,79034398
2011-01-19,48457.58,48531.41,47878.65,47899.55,77110747
2011-01-20,47677.95,47909.46,47408.18,47515.37,76186575
2011-01-21,47497.09,47873.04,47478.11,47641.43,70339680
2011-01-24,47688.87,47763.25,47117,47363.55,82655070
2011-01-25,47635.65,47635.84,47033.31,47131.09,60741006
2011-01-26,47159.5,47582.15,47159.5,47396.02,75578767
2011-01-27,47316.67,47533.04,47093.48,47533.04,70069656
2011-01-28,47285.63,47534.76,47106.53,47223.01,73700149
2011-01-31,46864.89,47156.76,46498.13,47156.76,75278810
2011-02-01,47439.83,47730.41,47243.05,47609.82,180998906
2011-02-02,47885.64,47986.46,47451.66,47559.15,216630306
2011-02-03,47714.27,47906.95,47587.78,47710.61,158171417
2011-02-04,47905.41,48088.98,47644.31,47796.39,111834775
2011-02-07,47977.85,48101.25,47878.18,47933.8,122188661
2011-02-08,48078.42,48177.49,47766.98,47846.36,132099904
2011-02-09,47837.75,47901.96,47647.04,47793.84,89083001
2011-02-10,47733.21,47733.21,47190.08,47242.1,98872194
2011-02-11,47231.66,47547.85,47139.45,47547.85,85903415
2011-02-14,47781.06,47823.13,47309.83,47449.93,78393321
2011-02-15,47338.82,47513.49,47317.59,47349.61,77706940
2011-02-16,47470.05,47486.5,47112.57,47193.06,70574291
2011-02-17,47347.18,47386.82,46575.14,46575.14,84334480
2011-02-18,46685.37,46847.74,46300.5,46761.43,68629651
2011-02-21,46877.9,46914.89,46573.24,46761.71,72667630
2011-02-22,46466.95,46679.67,46382.2,46548.27,85141634
2011-02-23,46521.34,46852.35,46474.77,46821.46,76092717
2011-02-24,46460.86,46701.69,46414.36,46547.75,67795260
2011-02-25,46802.84,46965.29,46758.19,46874.11,70091080
2011-02-28,46920.06,47540.91,46836.86,47540.91,109422019
2011-03-01,47597.55,47620.17,47019.42,47141.05,175241236
2011-03-02,46938.72,47326.35,46757.71,47326.35,76018753
2011-03-03,47503.81,48058.48,47452.98,48036.91,81132289
2011-03-04,48241.81,48532.09,48118.01,48295.76,94445108
2011-03-07,48338.47,48714.46,48248,48353.94,114872592
2011-03-08,48611.19,48705.83,48165.59,48421.8,101840909
2011-03-09,48500.88,48523.08,48252.15,48252.15,76120342
2011-03-10,48073.86,48119.11,47875.22,47929.59,81561505
2011-03-11,47568.03,47756.12,47432,47689.93,79933084
2011-03-14,47566.58,47889.05,47441.37,47737.14,107541483
2011-03-15,47057.67,47440.32,46712.51,47440.32,128148759
2011-03-16,47446.57,47492.49,47103.9,47103.9,73065182
2011-03-17,47313.88,47731.04,47267.7,47731.04,73295215
2011-03-18,47898.47,48018.78,47702.19,48010.91,149372631
2011-03-21,48182.85,48317.31,48074.82,48294.5,75224892
2011-03-22,48229.7,48284.09,47762,47946.35,89561604
2011-03-23,47850.99,48103.28,47759.62,47950.43,59747402
2011-03-24,47915.97,48168.95,47858.16,48168.95,113509299
2011-03-25,48225.69,48626.25,48062.31,48626.25,70777631
2011-03-28,48547.8,48808.28,48478.24,48787.61,98466750
2011-03-29,48711.93,48719.62,48471.1,48662.36,94485351
2011-03-30,48885.54,49073.05,48605.66,48605.66,88690156
2011-03-31,48731.49,48778.44,48589.19,48729.83,74043448
2011-04-01,48860.48,49503.34,48858.91,49503.34,102452902
2011-04-04,49487.67,49753.03,49449.23,49592.98,90248747
2011-04-05,49631.53,49723.56,49437.84,49693.02,90778672
2011-04-06,49814.22,50337.58,49777.55,50329.73,106339122
2011-04-07,50256.57,50371.74,50077.15,50371.74,104548789
2011-04-08,50494.61,50501.79,49896.27,49986.15,116849041
2011-04-11,50118.17,50169.6,49756.21,49985.99,64590322
2011-04-12,49779.5,49916.3,49549.02,49680.67,81051867
2011-04-13,49843.04,50174.38,49758.82,50174.38,124281448
2011-04-14,50021.32,50101.6,49646.65,49847.57,95029565
2011-04-15,49912.39,50016.31,49793.3,50016.31,141691719
2011-04-18,50017.99,50033.79,49193.91,49335.57,100050240
2011-04-19,49365.73,49609.18,49304.47,49609.18,69692347
2011-04-20,49863.05,50271.57,49857.03,50178.54,109143034
2011-04-21,50216.08,50294.47,49888.17,49966.31,118437643
2011-04-26,49918.31,50214.11,49806.42,50198,139662867
2011-04-27,50249.2,50259.66,49868.32,50024.22,99773508
2011-04-28,50132.49,50226.8,49904.93,50219.7,108779448
2011-04-29,50121.96,50139.35,49891.55,50008.98,169732817
2011-05-02,50097.45,50134.02,49769.97,50134.02,112962941
2011-05-04,49834.28,49839.6,49357.91,49542.01,152306812
2011-05-05,49470.86,49588.49,49081.67,49266.97,110895269
2011-05-06,49202.96,49417.55,49040.37,49321.53,88658264
2011-05-09,49431,49437.37,48904.49,48904.49,89387959
2011-05-10,49018.31,49333.01,49008.91,49332.75,79163780
2011-05-11,49318.7,49393.68,48956.66,49166.2,181667940
2011-05-12,48878.69,48880.22,48459.77,48795.21,134242782
2011-05-13,48908.24,49000.42,48671.16,48677.61,75147702
2011-05-16,48540.86,48940.24,48480.34,48940.24,90055644
2011-05-17,48879.97,48884.09,48286.43,48286.43,122611282
2011-05-18,48540.11,48682.43,48486.68,48523.79,84548497
2011-05-19,48720.31,49212.05,48688.5,48747.55,110302533
2011-05-20,48967.15,49162.55,48830.78,48858.84,94108525
2011-05-23,48486.49,48575.19,48155.21,48575.19,70485759
2011-05-24,48512.77,48752.14,48435.01,48752.14,71474251
2011-05-25,48577.92,49148.52,48526.88,49148.52,84858650
2011-05-26,49211.99,49393.14,49095.86,49215.53,83080602
2011-05-27,49337.99,49575.71,49306.51,49425.67,218927244
2011-05-30,49567.44,49574.89,49396.93,49492.53,116332951
2011-05-31,49706.7,50064.81,49700.74,50025.61,195600141
2011-06-01,50164.33,50164.33,49758.75,49929.4,115998302
2011-06-02,49655.28,49903.14,49598.88,49824.93,112736139
2011-06-03,49947.67,49947.67,49433,49638.88,104310043
2011-06-06,49628.4,49659.03,49383.29,49396.61,90706455
2011-06-07,49570.84,49841.18,49546.18,49747.78,92323849
2011-06-08,49630.63,49693.72,49411.88,49555.71,97796777
2011-06-09,49216.54,49476.12,49147.77,49378.82,123498051
2011-06-10,49386.82,49399.9,49019.74,49077.61,72715291
2011-06-13,49070.32,49209.87,49023.57,49121.13,59799385
2011-06-14,49235.67,49481.52,49235.67,49481.52,65416805
2011-06-15,49426.17,49463.23,49164.85,49258.23,95915075
2011-06-16,49077.7,49177.3,48993.16,49129.21,84799906
2011-06-17,49122.72,49353.4,49033.83,49353.4,95001653
2011-06-20,49130.97,49169.81,48800.36,48800.36,62224171
2011-06-21,49054.07,49103.06,48639.63,48863.88,61342486
2011-06-22,48837.12,48837.12,48485.26,48485.26,98272470
2011-06-24,48496.46,48624.46,48195.88,48394.02,93835666
2011-06-27,48236.15,48256.47,47575.55,48010.43,82681730
2011-06-28,47943.15,48035.95,47732.45,47976.14,77851609
2011-06-29,48193.47,48469.65,48188.91,48469.49,70923628
2011-06-30,48586.4,48744.76,48244.46,48414.36,93007648
2011-07-01,48465.55,48551.19,48246.41,48551.19,56697654
2011-07-04,48755.51,48809.29,48481.82,48481.82,71421414
2011-07-05,48636.4,48688.85,48499.2,48581.57,55835894
2011-07-06,48595.41,48604.69,48125.16,48200.74,129190153
2011-07-07,48414.58,49057.05,48349.25,49057.05,69837576
2011-07-08,49079.69,49093.63,48509.48,48700.58,92773680
2011-07-11,48561.93,48577.99,47920.64,47922.1,61465650
2011-07-12,47501.15,47796.32,47138.45,47695.46,98845580
2011-07-13,47782.78,48103.73,47769.98,48103.73,78478909
2011-07-14,47942,47994.22,47680.14,47768.38,47634209
2011-07-15,47705.03,47785.85,47526.98,47785.85,55036077
2011-07-18,47488.46,47516.96,46685.51,46740.32,72846737
2011-07-19,46811.05,47020.74,46651.79,46651.79,105046016
