rf;WIG;SMB;HML;WML;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,004783333;0,043098348;0,064964458;0,033781408;0,034925902;0,246481767;0,042649525;0,157256204;0,216892556;0,150017617;0,150276948;0,037175836;0,104084193;0,106454506;0,076796942;0,034413959;0,061763593;0,046942662;0,052343743;0,022778205;0,150060695
0,00485;-0,003755146;0,026981551;0,047745053;0,024220478;0,033555993;0,034952582;0,048482759;0,158509;0,094232127;0,041258755;-0,042373124;0,027015457;0,107826396;0,037687756;0,027123338;0,028594892;-0,005105894;0,018493913;-0,010769603;-0,063987709
0,004925;0,012537435;-0,002630575;0,029917928;0,082119308;0,170697157;0,049513348;0,073349469;0,04871899;-0,157713719;0,127448157;0,019597336;0,046245912;0,017333703;0,027163644;0,124269462;0,124290694;0,004933982;-0,007929577;0,010696561;0,01754431
0,005291667;-0,027010492;-0,004899768;0,042999702;0,003828441;-0,122737562;0,209781789;-0,06667506;-0,16393851;0,002511799;0,012952647;-0,041834343;0,062222294;-0,110014566;-0,031455885;-0,051176408;-0,017969108;-0,022924473;-0,046177517;-0,035692237;0,034191365
0,005766667;0,012877568;-0,026900865;-0,023735186;-0,003032922;-0,00673826;0,029949188;-0,040543447;-0,100571141;-0,149422699;-0,011554551;0,038890149;-0,019301389;-0,004074049;-0,021332697;0,008089822;0,020641425;-0,006432761;0,009593116;0,035537446;0,00236855
0,005716667;-0,016814183;0,020919197;-0,024373151;0,106269757;-0,039049692;-0,111313469;-0,013790656;0,118129556;-0,086103628;-0,027999635;0,094312251;0,056274841;-0,031424429;-0,016748276;0,010618383;0,045848454;-0,034408758;-0,011756948;-0,005857959;0,234839591
0,006083333;0,019042835;0,003419827;0,039240804;-0,01685407;-0,035391422;0,110748649;0,025577804;-0,032648228;0,013044642;-0,043018298;0,084832843;0,053859288;0,150526905;0,069318623;0,036484108;0,008043178;0,027053947;-4,09E-05;-0,009536448;0,072657646
0,006216667;0,032583505;0,005496241;-0,031955949;0,041513101;0,091502549;0,046318453;0,065610451;0,05747141;-0,045681523;0,015126914;0,020992067;0,101477443;0,062908345;0,01449237;-0,008604678;0,01749279;0,00838024;0,036383159;0,054479485;-0,005390849
0,006116667;0,000372258;-0,009794679;0,002056894;0,014122409;-0,071904048;-0,023931149;-0,024696318;-0,055766502;-0,05228874;-0,051078595;0,002786286;0,013599117;-0,070422464;-0,040331997;-0,032008847;-0,049432898;-0,040824437;0,027790312;-0,055179244;-0,139761942
0,005783333;-0,019732155;-0,045967846;-0,063813034;-0,003017559;-0,011791134;-0,03949044;-0,064372812;-0,044841062;-0,126307719;-0,221548614;-0,06414731;-0,07258334;-0,006487253;-0,031750765;-0,053138132;-0,016961844;-0,027767478;-0,013993231;-0,019103328;0,220787838
0,005583333;0,033264618;0,003910107;0,024008211;-0,048288701;0,014390704;0,025772677;-0,015621993;0,043803349;0,072920925;0,015408198;0,000930917;-0,039624422;0,054558899;-0,009376551;-0,006982233;0,026588218;0,059110526;0,038499904;0,048148046;-0,054267965
0,005308333;-0,032502252;0,04527384;0,036726196;0,001194783;0,070560765;0,029125993;0,028481681;0,072977817;0,021768321;-0,015799758;-0,010160893;-0,002177351;-0,033138158;-0,044535753;-0,02444406;-0,048466648;-0,052201932;-0,00833312;-0,023472462;0,038460156
0,0052;0,068002715;-0,005485871;-0,005710651;0,008232648;-0,01685406;-0,015148341;0,056229168;-0,005061523;-0,004685637;-0,023996129;-0,047405978;0,020682056;0,004562524;-0,002690538;-0,015690332;-0,019662116;0,05118163;0,030176582;0,067246838;0,039755211
0,0046;-0,039171757;-0,038285738;-0,038724088;0,014731805;-0,109508438;-0,092135259;-0,121022608;-0,072037986;-0,069431179;-0,109452729;-0,027716386;-0,046281198;-0,069726134;-0,046382381;0,025624013;-0,050213474;-0,026936332;-0,029649807;-0,052163701;-0,031713897
0,004591667;-0,056810111;-0,015551729;0,011023005;0,021327362;-0,112038066;-0,058708245;-0,059878926;-0,118381908;-0,09066032;-0,059352879;-0,011251412;-0,03867929;-0,065921547;-0,019395914;-0,100802045;-0,07837195;-0,093592296;-0,052413265;-0,054389639;-0,067158049
0,004358333;0,028222819;0,004440487;0,026636267;-0,004729605;0,005721215;-0,000233582;0,124887795;0,032769318;0,035343039;-0,036644302;-0,02368584;0,022612091;0,035590933;0,001773584;0,028216844;0,016162737;0,008765346;0,011835552;0,029710602;0,01647011
0,00425;0,062630638;-0,005656584;0,015816549;0,008702827;0,050403039;0,120624935;0,003068659;0,051720115;0,036701964;0,040226841;0,036173345;0,013842492;-0,006015437;0,020953127;0,024374094;0,053341272;0,050129888;0,016530991;0,066785566;0,050371662
