WFOOD;WCLOTH;WSO;WNDO;WHOUSE;PFOOD;PCLOTH;PSO;PNDO;PHOUSE;LREXP
0,267;0,092;0,318;0,149;0,174;0,343;0,527;0,307;0,294;0,373;1,699
0,267;0,091;0,318;0,150;0,174;0,342;0,529;0,309;0,298;0,373;1,706
0,267;0,089;0,318;0,151;0,174;0,348;0,531;0,311;0,301;0,374;1,716
0,267;0,090;0,318;0,150;0,174;0,350;0,534;0,313;0,300;0,376;1,727
0,269;0,091;0,318;0,151;0,171;0,352;0,537;0,316;0,303;0,377;1,747
0,269;0,092;0,317;0,151;0,171;0,359;0,540;0,318;0,306;0,379;1,751
0,268;0,091;0,319;0,152;0,169;0,363;0,546;0,322;0,307;0,381;1,759
0,266;0,092;0,320;0,152;0,169;0,366;0,549;0,326;0,308;0,383;1,763
0,263;0,091;0,324;0,152;0,170;0,368;0,555;0,330;0,311;0,386;1,764
0,262;0,091;0,325;0,152;0,170;0,367;0,562;0,332;0,313;0,388;1,772
0,259;0,091;0,328;0,152;0,171;0,367;0,567;0,334;0,315;0,390;1,778
0,258;0,091;0,329;0,151;0,171;0,371;0,572;0,337;0,319;0,392;1,783
0,259;0,090;0,329;0,150;0,172;0,373;0,579;0,340;0,320;0,394;1,786
0,258;0,091;0,330;0,151;0,170;0,378;0,587;0,346;0,323;0,397;1,799
0,258;0,092;0,333;0,149;0,169;0,381;0,597;0,351;0,328;0,401;1,809
0,258;0,092;0,333;0,149;0,168;0,385;0,607;0,355;0,330;0,404;1,820
0,257;0,091;0,335;0,147;0,169;0,390;0,617;0,360;0,334;0,408;1,823
0,256;0,092;0,336;0,147;0,169;0,393;0,625;0,364;0,336;0,412;1,830
0,255;0,091;0,337;0,148;0,169;0,399;0,633;0,370;0,341;0,416;1,836
0,254;0,091;0,338;0,147;0,170;0,405;0,641;0,374;0,344;0,420;1,840
0,255;0,090;0,340;0,146;0,170;0,413;0,649;0,379;0,346;0,425;1,847
0,258;0,087;0,340;0,146;0,169;0,420;0,654;0,386;0,349;0,428;1,854
0,258;0,086;0,342;0,145;0,169;0,424;0,659;0,392;0,355;0,432;1,855
0,256;0,085;0,344;0,145;0,169;0,426;0,666;0,398;0,357;0,437;1,861
0,254;0,086;0,345;0,145;0,170;0,429;0,675;0,405;0,363;0,443;1,863
0,251;0,086;0,347;0,144;0,171;0,430;0,680;0,410;0,364;0,449;1,866
0,250;0,088;0,349;0,141;0,172;0,438;0,685;0,416;0,363;0,455;1,868
0,247;0,087;0,351;0,141;0,174;0,442;0,689;0,423;0,369;0,460;1,868
0,246;0,087;0,353;0,140;0,174;0,446;0,692;0,429;0,373;0,465;1,874
0,244;0,086;0,356;0,140;0,174;0,453;0,697;0,434;0,371;0,469;1,884
0,246;0,087;0,354;0,139;0,173;0,456;0,700;0,438;0,374;0,473;1,897
0,246;0,088;0,354;0,139;0,173;0,462;0,701;0,443;0,376;0,478;1,906
0,244;0,088;0,355;0,140;0,172;0,470;0,708;0,446;0,378;0,483;1,922
0,245;0,090;0,351;0,141;0,173;0,486;0,714;0,452;0,381;0,490;1,925
