rok;cena;pop;doch;CPI;ludnosc
1991;3.8;456.67;97.9;100;38.4
1992;4.6;641.67;142.83;127.5;38.5
1993;4.2;870.00;173.62;192.5;38.6
1994;8.6;1130.83;230.93;255.8;38.6
1995;12.2;1455.83;300.56;326.9;38.6
1996;13.3;1776.67;383.43;392.0;38.6
1997;16.9;2000.83;444.77;450.4;38.7
1998;18.8;2199.17;522.93;503.5;38.7
1999;20.3;2369.17;560.43;540.2;38.7
2000;22.4;2485.00;610.51;594.8;38.7
