# Day (0 = 1. Jan.)   Weekday (0=monday,1=tuesday,...)   Holiday?   shiftnumber | shift begin   shift end   duration | nightshift?  midnightshift?
63	                    0           0             629     1004   1337     218                   0                         0
63	                    0           0             630     1036   1490     383                   1                         1
63	                    0           0             631      269    653     317                   0                         0
63	                    0           0             632      364    808     374                   0                         0
63	                    0           0             633      910   1408     410                   1                         0
63	                    0           0             634      259    663     288                   0                         0
63	                    0           0             635      313    429      91                   0                         0
63	                    0           0             636      684   1201     260                   0                         0
63	                    0           0             637      921   1289     234                   0                         0
63	                    0           0             638      915   1448     388                   1                         1
63	                    0           0             639      192    662     284                   1                         0
63	                    0           0             640      764   1325     388                   0                         0
63	                    0           0             641      227    588     312                   1                         0
63	                    0           0             642      335    788     297                   0                         0
63	                    0           0             643      362   1021     343                   0                         0
63	                    0           0             644      564   1266     512                   0                         0
63	                    0           0             645      209    683     290                   1                         0
63	                    0           0             646      304    993     548                   0                         0
63	                    0           0             647      975   1370     252                   0                         0
63	                    0           0             648      290    671     336                   0                         0
63	                    0           0             649      684   1271     397                   0                         0
63	                    0           0             650      332    903     467                   0                         0
63	                    0           0             651      192    485      87                   1                         0
63	                    0           0             652      796   1328     306                   0                         0
63	                    0           0             653      270    633     305                   0                         0
63	                    0           0             654      763   1271     458                   0                         0
63	                    0           0             655      355    863     391                   0                         0
63	                    0           0             656      392    592     195                   0                         0
63	                    0           0             657      222    635     242                   1                         0
63	                    0           0             658      972   1445     326                   1                         1
63	                    0           0             659      314    988     502                   0                         0
63	                    0           0             660      348    782     261                   0                         0
63	                    0           0             661      192    823     378                   1                         0
64	                    1           0             662     1003   1337     228                   0                         0
64	                    1           0             663      169    683     315                   1                         0
64	                    1           0             664     1035   1490     383                   1                         1
64	                    1           0             665      279    653     327                   0                         0
64	                    1           0             666      374    808     374                   0                         0
64	                    1           0             667      920   1408     410                   1                         0
64	                    1           0             668      684   1201     260                   0                         0
64	                    1           0             669      921   1289     234                   0                         0
64	                    1           0             670      915   1448     398                   1                         1
64	                    1           0             671      192    662     284                   1                         0
64	                    1           0             672      764   1325     388                   0                         0
64	                    1           0             673      227    588     312                   1                         0
64	                    1           0             674      397    592     190                   0                         0
64	                    1           0             675      329    429      85                   0                         0
64	                    1           0             676      362   1021     343                   0                         0
64	                    1           0             677      564   1266     512                   0                         0
64	                    1           0             678      304    993     548                   0                         0
64	                    1           0             679      975   1370     252                   0                         0
64	                    1           0             680      290    671     336                   0                         0
64	                    1           0             681      290    663     274                   0                         0
64	                    1           0             682      684   1271     397                   0                         0
64	                    1           0             683      332    903     467                   0                         0
